tissue_sample_id,communication_celltype,n_cells,dataset,donor,donor_ID,status,n_total_cells,n_tissue_samples_same_donor_status,fraction,meets_min_cells,coverage_status
"GSE134809::GSM3972009::Inflamed","B_cell::ActB3",8,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.00249454318677892,FALSE,"low_cell_count"
"GSE134809::GSM3972009::Inflamed","B_cell::CSM",524,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.163392578734019,TRUE,"adequate_cell_count"
"GSE134809::GSM3972009::Inflamed","B_cell::Centroblast B",10,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.00311817898347365,FALSE,"low_cell_count"
"GSE134809::GSM3972009::Inflamed","B_cell::Centrocyte B",0,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972009::Inflamed","B_cell::DN2",41,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.012784533832242,TRUE,"adequate_cell_count"
"GSE134809::GSM3972009::Inflamed","B_cell::IgM-only",6,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.00187090739008419,FALSE,"low_cell_count"
"GSE134809::GSM3972009::Inflamed","B_cell::MZ",6,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.00187090739008419,FALSE,"low_cell_count"
"GSE134809::GSM3972009::Inflamed","B_cell::Naïve B",34,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.0106018085438104,TRUE,"adequate_cell_count"
"GSE134809::GSM3972009::Inflamed","Endothelial",95,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.0296227003429997,TRUE,"adequate_cell_count"
"GSE134809::GSM3972009::Inflamed","Epithelial",2,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.00062363579669473,FALSE,"low_cell_count"
"GSE134809::GSM3972009::Inflamed","Mast",13,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.00405363267851575,FALSE,"low_cell_count"
"GSE134809::GSM3972009::Inflamed","Mesenchymal_stromal",447,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.139382600561272,TRUE,"adequate_cell_count"
"GSE134809::GSM3972009::Inflamed","Myeloid",214,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.0667290302463361,TRUE,"adequate_cell_count"
"GSE134809::GSM3972009::Inflamed","Plasma::Activated plasma",6,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.00187090739008419,FALSE,"low_cell_count"
"GSE134809::GSM3972009::Inflamed","Plasma::IgA plasma",32,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.00997817274711568,TRUE,"adequate_cell_count"
"GSE134809::GSM3972009::Inflamed","Plasma::IgG plasma",506,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.157779856563767,TRUE,"adequate_cell_count"
"GSE134809::GSM3972009::Inflamed","Plasma::Transitional B",4,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.00124727159338946,FALSE,"low_cell_count"
"GSE134809::GSM3972009::Inflamed","T_NK",1259,"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed",3207,1,0.392578734019333,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","B_cell::ActB3",3,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.000431716793783278,FALSE,"low_cell_count"
"GSE134809::GSM3972010::Non-inflamed","B_cell::CSM",318,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.0457619801410275,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","B_cell::Centroblast B",3,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.000431716793783278,FALSE,"low_cell_count"
"GSE134809::GSM3972010::Non-inflamed","B_cell::Centrocyte B",0,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972010::Non-inflamed","B_cell::DN2",6,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.000863433587566556,FALSE,"low_cell_count"
"GSE134809::GSM3972010::Non-inflamed","B_cell::IgM-only",1,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.000143905597927759,FALSE,"low_cell_count"
"GSE134809::GSM3972010::Non-inflamed","B_cell::MZ",3,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.000431716793783278,FALSE,"low_cell_count"
"GSE134809::GSM3972010::Non-inflamed","B_cell::Naïve B",49,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.00705137429846021,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Endothelial",52,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.00748309109224349,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Epithelial",152,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.0218736508850194,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Mast",63,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.00906605266944884,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Mesenchymal_stromal",168,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.0241761404518636,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Myeloid",163,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.0234566124622248,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Plasma::Activated plasma",56,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.00805871348395453,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Plasma::IgA plasma",4541,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.653475320189955,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Plasma::IgG plasma",105,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.0151100877824147,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Plasma::Transitional B",9,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.00129515038134983,FALSE,"low_cell_count"
"GSE134809::GSM3972010::Non-inflamed","T_NK",1257,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.180889336595194,TRUE,"adequate_cell_count"
"GSE134809::GSM3972011::Inflamed","B_cell::ActB3",1,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.00109529025191676,FALSE,"low_cell_count"
"GSE134809::GSM3972011::Inflamed","B_cell::CSM",5,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.00547645125958379,FALSE,"low_cell_count"
"GSE134809::GSM3972011::Inflamed","B_cell::Centroblast B",0,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972011::Inflamed","B_cell::Centrocyte B",0,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972011::Inflamed","B_cell::DN2",3,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.00328587075575027,FALSE,"low_cell_count"
"GSE134809::GSM3972011::Inflamed","B_cell::IgM-only",0,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0,FALSE,"absent_zero_cells"
