dataset,donor,donor_ID,status,tissue_sample_id,n_total_cells,n_tissue_samples_same_donor_status,sender,receiver,n_sender,n_receiver,count_eligible,reason,min_cells_required
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::ActB3","Endothelial",8,95,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::ActB3","Epithelial",8,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::ActB3","Mast",8,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::ActB3","Mesenchymal_stromal",8,447,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::ActB3","Myeloid",8,214,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::ActB3","T_NK",8,1259,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::CSM","Endothelial",524,95,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::CSM","Epithelial",524,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::CSM","Mast",524,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::CSM","Mesenchymal_stromal",524,447,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::CSM","Myeloid",524,214,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::CSM","T_NK",524,1259,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centroblast B","Endothelial",10,95,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centroblast B","Epithelial",10,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centroblast B","Mast",10,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centroblast B","Mesenchymal_stromal",10,447,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centroblast B","Myeloid",10,214,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centroblast B","T_NK",10,1259,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centrocyte B","Endothelial",0,95,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centrocyte B","Epithelial",0,2,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centrocyte B","Mast",0,13,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centrocyte B","Mesenchymal_stromal",0,447,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centrocyte B","Myeloid",0,214,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Centrocyte B","T_NK",0,1259,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::DN2","Endothelial",41,95,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::DN2","Epithelial",41,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::DN2","Mast",41,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::DN2","Mesenchymal_stromal",41,447,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::DN2","Myeloid",41,214,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::DN2","T_NK",41,1259,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::IgM-only","Endothelial",6,95,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::IgM-only","Epithelial",6,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::IgM-only","Mast",6,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::IgM-only","Mesenchymal_stromal",6,447,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::IgM-only","Myeloid",6,214,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::IgM-only","T_NK",6,1259,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::MZ","Endothelial",6,95,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::MZ","Epithelial",6,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::MZ","Mast",6,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::MZ","Mesenchymal_stromal",6,447,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::MZ","Myeloid",6,214,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::MZ","T_NK",6,1259,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Naïve B","Endothelial",34,95,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Naïve B","Epithelial",34,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Naïve B","Mast",34,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Naïve B","Mesenchymal_stromal",34,447,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Naïve B","Myeloid",34,214,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"B_cell::Naïve B","T_NK",34,1259,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Activated plasma","Endothelial",6,95,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Activated plasma","Epithelial",6,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Activated plasma","Mast",6,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Activated plasma","Mesenchymal_stromal",6,447,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Activated plasma","Myeloid",6,214,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Activated plasma","T_NK",6,1259,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgA plasma","Endothelial",32,95,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgA plasma","Epithelial",32,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgA plasma","Mast",32,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgA plasma","Mesenchymal_stromal",32,447,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgA plasma","Myeloid",32,214,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgA plasma","T_NK",32,1259,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgG plasma","Endothelial",506,95,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgG plasma","Epithelial",506,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgG plasma","Mast",506,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgG plasma","Mesenchymal_stromal",506,447,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgG plasma","Myeloid",506,214,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::IgG plasma","T_NK",506,1259,TRUE,"adequate_cell_counts",20
