dataset,sender,receiver,contrast,reference,target,n_reference_donors,n_target_donors,n_paired_donors,n_reference_only,n_target_only,both_groups_present
"GSE134809","B_cell::ActB3","Endothelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Endothelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Endothelial","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","Endothelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","Endothelial","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","B_cell::ActB3","Epithelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Epithelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Epithelial","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","Epithelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","Epithelial","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","B_cell::ActB3","Mast","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Mast","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Mast","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::ActB3","Mast","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::ActB3","Mast","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","B_cell::ActB3","Mesenchymal_stromal","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Mesenchymal_stromal","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Mesenchymal_stromal","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","Mesenchymal_stromal","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","Mesenchymal_stromal","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","B_cell::ActB3","Myeloid","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Myeloid","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","Myeloid","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","Myeloid","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","Myeloid","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","B_cell::ActB3","T_NK","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","T_NK","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::ActB3","T_NK","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","T_NK","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::ActB3","T_NK","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","B_cell::CSM","Endothelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::CSM","Endothelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
