dataset,status,n_donors,n_samples,n_cells
"GSE134809","Control",0,0,0
"GSE134809","Inflamed",11,11,44224
"GSE134809","Non-inflamed",11,11,39647
"GSE134809","Non-stricture",0,0,0
"GSE134809","Stricture",0,0,0
"JCI2024","Control",0,0,0
"JCI2024","Inflamed",0,0,0
"JCI2024","Non-inflamed",0,0,0
"JCI2024","Non-stricture",6,6,36476
"JCI2024","Stricture",6,6,60036
"SCP1884","Control",10,10,46314
"SCP1884","Inflamed",12,12,43890
"SCP1884","Non-inflamed",26,26,224424
"SCP1884","Non-stricture",0,0,0
"SCP1884","Stricture",0,0,0
"SCP2959","Control",9,9,45577
"SCP2959","Inflamed",1,1,2406
"SCP2959","Non-inflamed",0,0,0
"SCP2959","Non-stricture",14,14,87864
"SCP2959","Stricture",18,18,93503
