dataset,status,n_common_LR_edges,n_nonzero_union,settings_match,spearman_all,spearman_nonzero_union
"GSE134809","Non-inflamed",320832,5375,FALSE,0.692162542310897,0.512617958495143
"GSE134809","Inflamed",320832,5210,FALSE,0.817575509555257,0.737001417447201
"JCI2024","Non-stricture",320832,8969,FALSE,0.694603631556395,0.543214410897261
"JCI2024","Stricture",320832,9492,FALSE,0.770820842529866,0.64082628382212
"SCP1884","Control",294096,5351,FALSE,0.857838336562617,0.809744904624309
"SCP1884","Non-inflamed",320832,4882,FALSE,0.93484768516135,0.95666041884337
"SCP1884","Inflamed",320832,5648,FALSE,0.802140485049743,0.688986086907917
"SCP2959","Control",294096,5123,FALSE,0.885590682272722,0.853732281481407
"SCP2959","Inflamed",213888,5356,FALSE,0.57059257784694,0.310245435736212
"SCP2959","Non-stricture",320832,5529,FALSE,0.903140824740549,0.884970297917529
"SCP2959","Stricture",320832,6817,FALSE,0.902214594537661,0.907047042432123
