subset	marker	type	evidence	PMID_or_DOI	notes
Naive B	TCL1A	mRNA	Appendix CITE-seq RNA/ADT reference; naive-cluster annotation	PMID:42247482; DOI:10.1126/sciimmunol.ady8948	Use with IGHD and absence of CD27; TCL1A also occurs in transitional cells.
Naive B	IGHD	mRNA	Appendix CITE-seq RNA/ADT reference; naive and IgD-positive compartments	PMID:42247482; DOI:10.1126/sciimmunol.ady8948	Pair with IGHM; distinguish from unswitched memory using CD27 and broader state.
Naive B	CD27 (negative/low)	protein/ADT	Appendix CITE-seq surface phenotype	PMID:42247482; DOI:10.1126/sciimmunol.ady8948	Negative marker; combine with IgD positivity.
Transitional B	CD10/MME	protein/ADT	Appendix CITE-seq surface phenotype; transitional cluster was CD10-positive	PMID:42247482; DOI:10.1126/sciimmunol.ady8948	Protein name CD10; gene symbol MME.
Transitional B	CD24 (high)	protein/ADT	Human transitional B-cell phenotype with gut-homing maturation analysis	PMID:33538776; DOI:10.1084/jem.20202001	Combine with high CD38; not specific alone.
Transitional B	CD38 (high)	protein/ADT	Human transitional B-cell phenotype with gut-homing maturation analysis	PMID:33538776; DOI:10.1084/jem.20202001	Also high on plasmablasts; require CD24-high/CD10-positive context.
Germinal-center B, centroblast	BCL6	mRNA	Human GALT germinal-center B-cell annotation	PMID:42247482; DOI:10.1126/sciimmunol.ady8948	Core GC identity marker; pair with proliferation markers.
Germinal-center B, centroblast	MKI67	mRNA	Appendix CITE-seq distinguished Ki67-positive centroblasts	PMID:42247482; DOI:10.1126/sciimmunol.ady8948	Proliferation marker, not B-cell-specific.
Germinal-center B, centrocyte	BCL6	mRNA	Human GALT germinal-center B-cell annotation	PMID:42247482; DOI:10.1126/sciimmunol.ady8948	Interpret with low MKI67 relative to centroblasts.
Germinal-center B, centrocyte	MKI67 (low/negative)	mRNA	Appendix CITE-seq distinguished Ki67-negative centrocytes	PMID:42247482; DOI:10.1126/sciimmunol.ady8948	Negative/relative marker.
Marginal-zone/unswitched-memory B	CD27	protein/ADT	GALT MZ-like B-cell phenotype and appendix CITE-seq annotation	PMID:30242242; DOI:10.1038/s41467-018-06089-1	Use with IgM and IgD; MZ-like and IgM-memory labels are not always interchangeable.
