subset	marker	type	evidence	PMID_or_DOI	notes
Stromal | ADAMDEC1+ fibroblast	ADAMDEC1	mRNA	Single-cell analysis of stricturing Crohn intestinal fibroblasts	DOI:10.1053/j.gastro.2023.07.014	Gut fibroblast marker; assess together with CXCL14/CDH11.
Stromal | ADAMDEC1+ fibroblast	CXCL14	mRNA	Single-cell analysis of stricturing Crohn intestinal fibroblasts	DOI:10.1053/j.gastro.2023.07.014	Not exclusive; spatial context improves specificity.
Stromal | ADAMDEC1+ fibroblast	CDH11	mRNA	Single-cell analysis of stricturing Crohn intestinal fibroblasts	DOI:10.1053/j.gastro.2023.07.014	Fibroblast activation/adhesion marker.
Stromal | RSPO3+ niche fibroblast	RSPO3	mRNA	Human intestinal single-cell stromal atlas	PMID:31303374; DOI:10.1016/j.cell.2019.06.029	WNT-supporting niche fibroblast marker; original disease cohort was colonic UC, not ileal CD.
Stromal | RSPO3+ niche fibroblast	WNT2B	mRNA	Human intestinal single-cell stromal atlas	PMID:31303374; DOI:10.1016/j.cell.2019.06.029	Use with RSPO3 and stromal identity.
Stromal | RSPO3+ niche fibroblast	WNT5B	mRNA	Human intestinal single-cell stromal atlas	PMID:31303374; DOI:10.1016/j.cell.2019.06.029	Context marker; not specific alone.
Stromal | FAP+ profibrotic fibroblast	FAP	mRNA	scRNA-seq of fibrotic and nonfibrotic ileal Crohn tissue	PMID:39024569; DOI:10.1172/JCI179472	Direct ileal-CD evidence; combine with collagen/TWIST1 program.
Stromal | FAP+ profibrotic fibroblast	TWIST1	mRNA	scRNA-seq and functional analysis of ileal Crohn fibrosis	PMID:39024569; DOI:10.1172/JCI179472	Profibrotic transcriptional regulator.
Stromal | FAP+ profibrotic fibroblast	COL1A1	mRNA	scRNA-seq and functional analysis of ileal Crohn fibrosis	PMID:39024569; DOI:10.1172/JCI179472	Matrix marker; shared by multiple fibroblast states.
Stromal | inflammatory fibroblast	MMP1	mRNA	Single-cell/spatial stricturing Crohn fibroblast label	PMID:40562913; DOI:10.1038/s41588-025-02225-y	Direct Crohn evidence.
Stromal | inflammatory fibroblast	MMP3	mRNA	Single-cell/spatial stricturing Crohn fibroblast label	PMID:40562913; DOI:10.1038/s41588-025-02225-y	Direct Crohn evidence.
Stromal | inflammatory fibroblast	CXCL5	mRNA	Single-cell/spatial stricturing Crohn fibroblast label	PMID:40562913; DOI:10.1038/s41588-025-02225-y	Inflammatory chemokine; not fibroblast-specific alone.
Stromal | inflammatory fibroblast	CHI3L1	mRNA	Single-cell/spatial stricturing Crohn fibroblast label	PMID:40562913; DOI:10.1038/s41588-025-02225-y	Also expressed by myeloid cells; require stromal context.
