dataset,status,sender,receiver,n_samples,n_eligible_samples,n_eligible_donors,min_cells
"GSE134809","Inflamed","B_cell::ActB3","Endothelial",11,6,6,10
"GSE134809","Inflamed","B_cell::ActB3","Epithelial",11,6,6,10
"GSE134809","Inflamed","B_cell::ActB3","Mast",11,2,2,10
"GSE134809","Inflamed","B_cell::ActB3","Mesenchymal_stromal",11,6,6,10
"GSE134809","Inflamed","B_cell::ActB3","Myeloid",11,6,6,10
"GSE134809","Inflamed","B_cell::ActB3","T_NK",11,6,6,10
"GSE134809","Inflamed","B_cell::CSM","Endothelial",11,10,10,10
"GSE134809","Inflamed","B_cell::CSM","Epithelial",11,9,9,10
"GSE134809","Inflamed","B_cell::CSM","Mast",11,6,6,10
"GSE134809","Inflamed","B_cell::CSM","Mesenchymal_stromal",11,10,10,10
"GSE134809","Inflamed","B_cell::CSM","Myeloid",11,10,10,10
"GSE134809","Inflamed","B_cell::CSM","T_NK",11,10,10,10
"GSE134809","Inflamed","B_cell::Centroblast B","Endothelial",11,4,4,10
"GSE134809","Inflamed","B_cell::Centroblast B","Epithelial",11,3,3,10
"GSE134809","Inflamed","B_cell::Centroblast B","Mast",11,3,3,10
"GSE134809","Inflamed","B_cell::Centroblast B","Mesenchymal_stromal",11,4,4,10
"GSE134809","Inflamed","B_cell::Centroblast B","Myeloid",11,4,4,10
"GSE134809","Inflamed","B_cell::Centroblast B","T_NK",11,4,4,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Endothelial",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Epithelial",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Mast",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Mesenchymal_stromal",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Myeloid",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","T_NK",11,1,1,10
"GSE134809","Inflamed","B_cell::DN2","Endothelial",11,8,8,10
"GSE134809","Inflamed","B_cell::DN2","Epithelial",11,7,7,10
"GSE134809","Inflamed","B_cell::DN2","Mast",11,4,4,10
"GSE134809","Inflamed","B_cell::DN2","Mesenchymal_stromal",11,8,8,10
"GSE134809","Inflamed","B_cell::DN2","Myeloid",11,8,8,10
"GSE134809","Inflamed","B_cell::DN2","T_NK",11,8,8,10
"GSE134809","Inflamed","B_cell::IgM-only","Endothelial",11,4,4,10
"GSE134809","Inflamed","B_cell::IgM-only","Epithelial",11,4,4,10
"GSE134809","Inflamed","B_cell::IgM-only","Mast",11,1,1,10
"GSE134809","Inflamed","B_cell::IgM-only","Mesenchymal_stromal",11,4,4,10
"GSE134809","Inflamed","B_cell::IgM-only","Myeloid",11,4,4,10
"GSE134809","Inflamed","B_cell::IgM-only","T_NK",11,4,4,10
"GSE134809","Inflamed","B_cell::MZ","Endothelial",11,3,3,10
"GSE134809","Inflamed","B_cell::MZ","Epithelial",11,3,3,10
"GSE134809","Inflamed","B_cell::MZ","Mast",11,1,1,10
"GSE134809","Inflamed","B_cell::MZ","Mesenchymal_stromal",11,3,3,10
"GSE134809","Inflamed","B_cell::MZ","Myeloid",11,3,3,10
"GSE134809","Inflamed","B_cell::MZ","T_NK",11,3,3,10
"GSE134809","Inflamed","B_cell::Naïve B","Endothelial",11,9,9,10
"GSE134809","Inflamed","B_cell::Naïve B","Epithelial",11,8,8,10
"GSE134809","Inflamed","B_cell::Naïve B","Mast",11,5,5,10
"GSE134809","Inflamed","B_cell::Naïve B","Mesenchymal_stromal",11,9,9,10
"GSE134809","Inflamed","B_cell::Naïve B","Myeloid",11,9,9,10
"GSE134809","Inflamed","B_cell::Naïve B","T_NK",11,9,9,10
"GSE134809","Inflamed","Plasma::Activated plasma","Endothelial",11,8,8,10
"GSE134809","Inflamed","Plasma::Activated plasma","Epithelial",11,9,9,10
"GSE134809","Inflamed","Plasma::Activated plasma","Mast",11,5,5,10
"GSE134809","Inflamed","Plasma::Activated plasma","Mesenchymal_stromal",11,8,8,10
"GSE134809","Inflamed","Plasma::Activated plasma","Myeloid",11,9,9,10
"GSE134809","Inflamed","Plasma::Activated plasma","T_NK",11,9,9,10
"GSE134809","Inflamed","Plasma::IgA plasma","Endothelial",11,10,10,10
"GSE134809","Inflamed","Plasma::IgA plasma","Epithelial",11,10,10,10
"GSE134809","Inflamed","Plasma::IgA plasma","Mast",11,7,7,10
"GSE134809","Inflamed","Plasma::IgA plasma","Mesenchymal_stromal",11,10,10,10
"GSE134809","Inflamed","Plasma::IgA plasma","Myeloid",11,11,11,10
"GSE134809","Inflamed","Plasma::IgA plasma","T_NK",11,11,11,10
"GSE134809","Inflamed","Plasma::IgG plasma","Endothelial",11,9,9,10
